bank_txn_id,posted_at,description,credit,debit,currency,reference
BANK_000,2026-08-19T13:25:00+00:00,RAZORPAY SETTLEMENT SET_000,206219.78,0.00,INR,SET_000
BANK_001,2026-08-19T18:07:00+00:00,RAZORPAY SETTLEMENT SET_001,171495.93,0.00,INR,SET_001
BANK_002,2026-08-19T22:49:00+00:00,RAZORPAY SETTLEMENT SET_002,176377.98,0.00,INR,SET_002
BANK_003,2026-08-20T03:31:00+00:00,RAZORPAY SETTLEMENT SET_003,220951.13,0.00,INR,SET_003
BANK_004,2026-08-20T08:13:00+00:00,RAZORPAY SETTLEMENT SET_004,314241.34,0.00,INR,SET_004
BANK_005,2026-08-20T12:55:00+00:00,RAZORPAY SETTLEMENT SET_005,205789.81,0.00,INR,SET_005
BANK_006,2026-08-25T17:37:00+00:00,RAZORPAY SETTLEMENT SET_1042,288799.13,0.00,INR,SET_1042
BANK_007,2026-08-25T22:19:00+00:00,RAZORPAY SETTLEMENT SET_007,275589.56,0.00,INR,SET_007
BANK_008,2026-08-21T03:01:00+00:00,RAZORPAY SETTLEMENT SET_008,278895.49,0.00,INR,SET_008
BANK_009,2026-08-21T04:35:00+00:00,RAZORPAY SETTLEMENT SET_009,83015.53,0.00,INR,SET_009
BANK_010,2026-08-21T12:25:00+00:00,RAZORPAY SETTLEMENT SET_010,188509.92,0.00,INR,SET_010
BANK_011,2026-08-21T17:07:00+00:00,RAZORPAY SETTLEMENT SET_011,409994.49,0.00,INR,SET_011
BANK_012,2026-08-21T21:49:00+00:00,RAZORPAY SETTLEMENT SET_012,257521.19,0.00,INR,SET_012
BANK_013,2026-08-24T02:31:00+00:00,RAZORPAY SETTLEMENT SET_013,229337.28,0.00,INR,SET_013
BANK_014,2026-08-24T07:13:00+00:00,RAZORPAY SETTLEMENT SET_014,236734.44,0.00,INR,SET_014
BANK_015,2026-08-24T11:55:00+00:00,RAZORPAY SETTLEMENT SET_015,356531.55,0.00,INR,SET_015
BANK_016,2026-08-24T16:37:00+00:00,RAZORPAY SETTLEMENT SET_016,290288.71,0.00,INR,SET_016
BANK_017,2026-08-24T21:19:00+00:00,RAZORPAY SETTLEMENT SET_017,320295.65,0.00,INR,SET_017
BANK_018,2026-08-25T02:01:00+00:00,RAZORPAY SETTLEMENT SET_018,294684.77,0.00,INR,SET_018
BANK_019,2026-08-25T06:43:00+00:00,RAZORPAY SETTLEMENT SET_019,235290.35,0.00,INR,SET_019
BANK_020,2026-08-25T11:25:00+00:00,RAZORPAY SETTLEMENT SET_020,219368.99,0.00,INR,SET_020
BANK_021,2026-08-25T16:07:00+00:00,RAZORPAY SETTLEMENT SET_021,84348.50,0.00,INR,SET_021
BANK_022,2026-08-25T20:49:00+00:00,RAZORPAY SETTLEMENT SET_022,308318.79,0.00,INR,SET_022
BANK_023,2026-08-25T23:57:00+00:00,RAZORPAY SETTLEMENT SET_023,134067.23,0.00,INR,SET_023
BANK_024,2026-08-25T06:13:00+00:00,RAZORPAY SETTLEMENT SET_024,197051.78,0.00,INR,SET_024
BANK_025,2026-08-25T10:55:00+00:00,RAZORPAY SETTLEMENT SET_025,192106.90,0.00,INR,SET_025
BANK_026,2026-08-25T15:37:00+00:00,RAZORPAY SETTLEMENT SET_026,329729.86,0.00,INR,SET_026
BANK_027,2026-08-25T20:19:00+00:00,RAZORPAY SETTLEMENT SET_027,294515.95,0.00,INR,SET_027
BANK_028,2026-08-25T23:27:00+00:00,RAZORPAY SETTLEMENT SET_028,258509.75,0.00,INR,SET_028
BANK_029,2026-08-25T05:43:00+00:00,RAZORPAY SETTLEMENT SET_029,199570.85,0.00,INR,SET_029
BANK_030,2026-08-25T10:25:00+00:00,RAZORPAY SETTLEMENT SET_030,344851.15,0.00,INR,SET_030
BANK_031,2026-08-25T15:07:00+00:00,RAZORPAY SETTLEMENT SET_031,231338.01,0.00,INR,SET_031
BANK_032,2026-08-25T19:49:00+00:00,RAZORPAY SETTLEMENT SET_032,317616.56,0.00,INR,SET_032
BANK_033,2026-08-26T00:31:00+00:00,RAZORPAY SETTLEMENT SET_033,202745.71,0.00,INR,SET_033
BANK_034,2026-08-26T05:13:00+00:00,RAZORPAY SETTLEMENT SET_034,275535.57,0.00,INR,SET_034
