payment_id,order_id,amount,currency,payment_method,card_network,card_scope,captured_at,fee,tax,status
PAY_82HD9,ORD_0000,10000.00,INR,card,Mastercard,domestic,2026-08-17T09:30:00+00:00,175.00,31.50,captured
PAY_0001,ORD_0001,9992.00,INR,card,Visa,domestic,2026-08-17T10:17:00+00:00,174.86,31.47,captured
PAY_0002,ORD_0002,36394.00,INR,card,Visa,domestic,2026-08-17T11:04:00+00:00,636.90,114.64,captured
PAY_0003,ORD_0003,84375.00,INR,card,Mastercard,domestic,2026-08-17T11:51:00+00:00,1476.56,265.78,captured
PAY_0004,ORD_0004,24804.00,INR,card,Visa,domestic,2026-08-17T12:38:00+00:00,434.07,78.13,captured
PAY_0005,ORD_0005,45003.00,INR,card,Visa,domestic,2026-08-17T13:25:00+00:00,787.55,141.76,captured
PAY_0006,ORD_0006,56882.00,INR,card,Mastercard,domestic,2026-08-17T14:12:00+00:00,995.44,179.18,captured
PAY_0007,ORD_0007,10762.00,INR,card,Visa,domestic,2026-08-17T14:59:00+00:00,188.34,33.90,captured
PAY_0008,ORD_0008,1427.00,INR,card,Visa,domestic,2026-08-17T15:46:00+00:00,24.97,4.49,captured
PAY_0009,ORD_0009,26120.00,INR,card,Mastercard,domestic,2026-08-17T16:33:00+00:00,457.10,82.28,captured
PAY_0010,ORD_0010,37319.00,INR,card,Visa,domestic,2026-08-17T17:20:00+00:00,653.08,117.55,captured
PAY_0011,ORD_0011,42602.00,INR,card,Visa,domestic,2026-08-17T18:07:00+00:00,745.54,134.20,captured
PAY_0012,ORD_0012,13265.00,INR,card,Mastercard,domestic,2026-08-17T18:54:00+00:00,232.14,41.79,captured
PAY_0013,ORD_0013,7573.00,INR,card,Visa,domestic,2026-08-17T19:41:00+00:00,132.53,23.86,captured
PAY_0014,ORD_0014,46255.00,INR,card,Visa,domestic,2026-08-17T20:28:00+00:00,809.46,145.70,captured
PAY_0015,ORD_0015,30309.00,INR,card,Mastercard,domestic,2026-08-17T21:15:00+00:00,530.41,95.47,captured
PAY_0016,ORD_0016,21294.00,INR,card,Visa,domestic,2026-08-17T22:02:00+00:00,372.65,67.08,captured
PAY_0017,ORD_0017,61401.00,INR,card,Visa,domestic,2026-08-17T22:49:00+00:00,1074.52,193.41,captured
PAY_0018,ORD_0018,34166.00,INR,card,Mastercard,domestic,2026-08-17T23:36:00+00:00,597.91,107.62,captured
PAY_0019,ORD_0019,23440.00,INR,card,Visa,domestic,2026-08-18T00:23:00+00:00,410.20,73.84,captured
PAY_0020,ORD_0020,12726.00,INR,card,Visa,domestic,2026-08-18T01:10:00+00:00,222.71,40.09,captured
PAY_0021,ORD_0021,58853.00,INR,card,Mastercard,domestic,2026-08-18T01:57:00+00:00,1029.93,185.39,captured
PAY_0022,ORD_0022,14125.00,INR,card,Visa,domestic,2026-08-18T02:44:00+00:00,247.19,44.49,captured
PAY_0023,ORD_0023,82300.00,INR,card,Visa,domestic,2026-08-18T03:31:00+00:00,1440.25,259.25,captured
PAY_0024,ORD_0024,74199.00,INR,card,Mastercard,domestic,2026-08-18T04:18:00+00:00,1298.48,233.73,captured
PAY_0025,ORD_0025,66043.00,INR,card,Visa,domestic,2026-08-18T05:05:00+00:00,1023.67,204.73,captured
PAY_0026,ORD_0026,41711.00,INR,card,Visa,domestic,2026-08-18T05:52:00+00:00,646.52,129.30,captured
PAY_0027,ORD_0027,19050.00,INR,card,Mastercard,domestic,2026-08-18T06:39:00+00:00,295.28,59.06,captured
PAY_0028,ORD_0028,62669.00,INR,card,Visa,domestic,2026-08-18T07:26:00+00:00,971.37,194.27,captured
PAY_0029,ORD_0029,56680.00,INR,card,Visa,domestic,2026-08-18T08:13:00+00:00,878.54,175.71,captured
PAY_0030,ORD_0030,44927.00,INR,card,Mastercard,domestic,2026-08-18T09:00:00+00:00,696.37,139.27,captured
PAY_0031,ORD_0031,5774.00,INR,card,Visa,domestic,2026-08-18T09:47:00+00:00,89.50,17.90,captured
PAY_0032,ORD_0032,76167.00,INR,card,Visa,domestic,2026-08-18T10:34:00+00:00,1180.59,236.12,captured
PAY_0033,ORD_0033,3649.00,INR,card,Mastercard,domestic,2026-08-18T11:21:00+00:00,56.56,10.18,captured
PAY_0034,ORD_0034,72062.00,INR,card,Visa,domestic,2026-08-18T12:08:00+00:00,1116.96,201.05,captured
PAY_0035,ORD_0035,18758.00,INR,card,Visa,domestic,2026-08-18T12:55:00+00:00,290.75,52.34,captured
PAY_0036,ORD_0036,74129.00,INR,card,Mastercard,domestic,2026-08-18T13:42:00+00:00,1149.00,206.82,captured
PAY_0037,ORD_0037,36053.00,INR,card,Visa,domestic,2026-08-18T14:29:00+00:00,558.82,100.59,captured
PAY_0038,ORD_0038,38480.00,INR,card,Visa,domestic,2026-08-18T15:16:00+00:00,596.44,107.36,captured
PAY_0039,ORD_0039,58912.00,INR,card,Mastercard,domestic,2026-08-18T16:03:00+00:00,913.14,164.37,captured
PAY_0040,ORD_0040,83665.00,INR,card,Visa,domestic,2026-08-18T16:50:00+00:00,1296.81,233.43,captured
PAY_0041,ORD_0041,13127.00,INR,card,Visa,domestic,2026-08-18T17:37:00+00:00,203.47,36.62,captured
