settlement_id,payment_id,gross_amount,fee,tax,refund_adjustment,other_adjustment,net_amount,settled_at
SET_000,PAY_82HD9,10000.00,175.00,31.50,0,0,9793.50,2026-08-19T09:30:00+00:00
SET_000,PAY_0001,9992.00,174.86,31.47,0,0,9785.67,2026-08-19T10:17:00+00:00
SET_000,PAY_0002,36394.00,636.90,114.64,0,0,35642.46,2026-08-19T11:04:00+00:00
SET_000,PAY_0003,84375.00,1476.56,265.78,0,0,82632.66,2026-08-19T11:51:00+00:00
SET_000,PAY_0004,24804.00,434.07,78.13,0,0,24291.80,2026-08-19T12:38:00+00:00
SET_000,PAY_0005,45003.00,787.55,141.76,0,0,44073.69,2026-08-19T13:25:00+00:00
SET_001,PAY_0006,56882.00,995.44,179.18,0,0,55707.38,2026-08-19T14:12:00+00:00
SET_001,PAY_0007,10762.00,188.34,33.90,0,0,10539.76,2026-08-19T14:59:00+00:00
SET_001,PAY_0008,1427.00,24.97,4.49,0,0,1397.54,2026-08-19T15:46:00+00:00
SET_001,PAY_0009,26120.00,457.10,82.28,0,0,25580.62,2026-08-19T16:33:00+00:00
SET_001,PAY_0010,37319.00,653.08,117.55,0,0,36548.37,2026-08-19T17:20:00+00:00
SET_001,PAY_0011,42602.00,745.54,134.20,0,0,41722.26,2026-08-19T18:07:00+00:00
SET_002,PAY_0012,13265.00,232.14,41.79,0,0,12991.07,2026-08-19T18:54:00+00:00
SET_002,PAY_0013,7573.00,132.53,23.86,0,0,7416.61,2026-08-19T19:41:00+00:00
SET_002,PAY_0014,46255.00,809.46,145.70,0,0,45299.84,2026-08-19T20:28:00+00:00
SET_002,PAY_0015,30309.00,530.41,95.47,0,0,29683.12,2026-08-19T21:15:00+00:00
SET_002,PAY_0016,21294.00,372.65,67.08,0,0,20854.27,2026-08-19T22:02:00+00:00
SET_002,PAY_0017,61401.00,1074.52,193.41,0,0,60133.07,2026-08-19T22:49:00+00:00
SET_003,PAY_0018,34166.00,597.91,107.62,0,0,33460.47,2026-08-19T23:36:00+00:00
SET_003,PAY_0019,23440.00,410.20,73.84,0,0,22955.96,2026-08-20T00:23:00+00:00
SET_003,PAY_0020,12726.00,222.71,40.09,0,0,12463.20,2026-08-20T01:10:00+00:00
SET_003,PAY_0021,58853.00,1029.93,185.39,0,0,57637.68,2026-08-20T01:57:00+00:00
SET_003,PAY_0022,14125.00,247.19,44.49,0,0,13833.32,2026-08-20T02:44:00+00:00
SET_003,PAY_0023,82300.00,1440.25,259.25,0,0,80600.50,2026-08-20T03:31:00+00:00
SET_004,PAY_0024,74199.00,1298.48,233.73,0,0,72666.79,2026-08-20T04:18:00+00:00
SET_004,PAY_0025,66043.00,1023.67,204.73,0,0,64814.60,2026-08-20T05:05:00+00:00
SET_004,PAY_0026,41711.00,646.52,129.30,0,0,40935.18,2026-08-20T05:52:00+00:00
SET_004,PAY_0027,19050.00,295.28,59.06,0,0,18695.66,2026-08-20T06:39:00+00:00
SET_004,PAY_0028,62669.00,971.37,194.27,0,0,61503.36,2026-08-20T07:26:00+00:00
SET_004,PAY_0029,56680.00,878.54,175.71,0,0,55625.75,2026-08-20T08:13:00+00:00
SET_005,PAY_0030,44927.00,696.37,139.27,0,0,44091.36,2026-08-20T09:00:00+00:00
SET_005,PAY_0031,5774.00,89.50,17.90,0,0,5666.60,2026-08-20T09:47:00+00:00
SET_005,PAY_0032,76167.00,1180.59,236.12,0,0,74750.29,2026-08-20T10:34:00+00:00
SET_005,PAY_0033,3649.00,56.56,10.18,1459.60,0,2122.66,2026-08-20T11:21:00+00:00
SET_005,PAY_0034,72062.00,1116.96,201.05,5000.00,0,65743.99,2026-08-20T12:08:00+00:00
SET_005,PAY_0035,18758.00,290.75,52.34,5000.00,0,13414.91,2026-08-20T12:55:00+00:00
SET_1042,PAY_0036,74129.00,1149.00,206.82,5000.00,0,67773.18,2026-08-20T13:42:00+00:00
SET_1042,PAY_0037,36053.00,558.82,100.59,5000.00,0,30393.59,2026-08-20T14:29:00+00:00
SET_1042,PAY_0038,38480.00,596.44,107.36,0,0,37776.20,2026-08-25T15:16:00+00:00
SET_1042,PAY_0039,58912.00,913.14,164.37,0,0,57834.49,2026-08-25T16:03:00+00:00
SET_1042,PAY_0040,83665.00,1296.81,233.43,0,0,82134.76,2026-08-25T16:50:00+00:00
SET_1042,PAY_0041,13127.00,203.47,36.62,0,0,12886.91,2026-08-25T17:37:00+00:00
SET_007,PAY_0042,47861.00,741.85,133.53,0,0,46985.62,2026-08-25T18:24:00+00:00
SET_007,PAY_0043,39365.00,610.16,109.83,0,0,38645.01,2026-08-25T19:11:00+00:00
