bank_txn_id,posted_at,description,credit,debit,currency,reference
BANK_PROD_00001,2026-09-02T15:00:00,PAYMENT AGGREGATOR SETTLEMENT CREDIT,56931.36,0.00,INR,
BANK_PROD_00002,2026-09-02T15:01:00,PAYMENT AGGREGATOR SETTLEMENT CREDIT,56931.36,0.00,INR,
BANK_PROD_00003,2026-08-28T02:13:00,RZP/SET_PROD_0001/SETTLEMENT,46820.57,0.00,INR,
BANK_PROD_00004,2026-09-01T21:30:00,RAZORPAY SETTLEMENT SET_PROD_0002 UTR0000000004,38308.41,0.00,INR,SET_PROD_0002
BANK_PROD_00005,2026-08-27T15:04:00,RZP/SET_PROD_0003/SETTLEMENT,55251.63,0.00,INR,
BANK_PROD_00006,2026-08-28T07:17:00,RAZORPAY SETTLEMENT SET_PROD_0004 UTR0000000006,59579.11,0.00,INR,SET_PROD_0004
BANK_PROD_00007,2026-08-29T05:03:00,PAYMENT AGGREGATOR CREDIT UTR0000000007,28356.02,0.00,INR,
BANK_PROD_00008,2026-08-28T20:40:00,RAZORPAY SETTLEMENT SET_PROD_0006 UTR0000000008,56395.34,0.00,INR,SET_PROD_0006
BANK_PROD_00009,2026-08-28T17:03:00,RAZORPAY SETTLEMENT SET_PROD_0007 UTR0000000009,50496.87,0.00,INR,SET_PROD_0007
BANK_PROD_00010,2026-08-29T07:26:00,RZP/SET_PROD_0008/SETTLEMENT,19107.45,0.00,INR,
BANK_PROD_00011,2026-08-28T15:14:00,RAZORPAY SETTLEMENT SET_PROD_0009 UTR0000000011,62739.12,0.00,INR,SET_PROD_0009
BANK_PROD_00012,2026-08-29T05:41:00,RAZORPAY SETTLEMENT SET_PROD_0010 UTR0000000012,61056.01,0.00,INR,SET_PROD_0010
BANK_PROD_00013,2026-08-28T23:09:00,RAZORPAY SETTLEMENT SET_PROD_0011 UTR0000000013,36360.31,0.00,INR,SET_PROD_0011
BANK_PROD_00014,2026-08-29T01:34:00,RAZORPAY SETTLEMENT SET_PROD_0012 UTR0000000014,75242.83,0.00,INR,SET_PROD_0012
BANK_PROD_00015,2026-09-03T07:48:00,RAZORPAY SETTLEMENT SET_PROD_0013 UTR0000000015,32534.65,0.00,INR,SET_PROD_0013
BANK_PROD_00016,2026-09-01T01:07:00,RZP/SET_PROD_0014/SETTLEMENT,45198.32,0.00,INR,
BANK_PROD_00017,2026-09-01T05:35:00,RAZORPAY SETTLEMENT SET_PROD_0015 UTR0000000017,37200.58,0.00,INR,SET_PROD_0015
BANK_PROD_00018,2026-08-31T21:45:00,RAZORPAY SETTLEMENT SET_PROD_0016 UTR0000000018,47883.46,0.00,INR,SET_PROD_0016
BANK_PROD_00019,2026-09-01T04:37:00,RAZORPAY SETTLEMENT SET_PROD_0017 UTR0000000019,38913.14,0.00,INR,SET_PROD_0017
BANK_PROD_00020,2026-09-01T04:29:00,RAZORPAY SETTLEMENT SET_PROD_0019 UTR0000000020,61646.95,0.00,INR,SET_PROD_0019
BANK_PROD_00021,2026-09-01T04:32:00,RAZORPAY SETTLEMENT SET_PROD_0020 UTR0000000021,66824.76,0.00,INR,SET_PROD_0020
