chargeback_id,payment_id,amount,fee,created_at,status
CB_PROD_0001,PAY_PROD_000082,299.80,500.00,2026-09-07T08:45:00,open
CB_PROD_0002,PAY_PROD_000138,99.80,500.00,2026-09-08T01:25:00,open
CB_PROD_0003,PAY_PROD_000217,159.90,500.00,2026-09-06T01:12:00,open
CB_PROD_0004,PAY_PROD_000390,99.80,500.00,2026-09-09T05:01:00,open
CB_PROD_0005,PAY_PROD_000543,2500.00,500.00,2026-09-13T02:58:00,open
CB_PROD_0006,PAY_PROD_000699,2000.00,500.00,2026-09-14T01:52:00,open
CB_PROD_0007,PAY_PROD_000057,399.80,250.00,2026-09-04T01:11:00,open
CB_PROD_0008,PAY_PROD_000118,299.90,250.00,2026-09-07T19:29:00,open
CB_PROD_0009,PAY_PROD_000407,159.90,250.00,2026-09-11T10:14:00,open
CB_PROD_0010,PAY_PROD_000419,2499.80,250.00,2026-09-11T13:43:00,open
CB_PROD_0011,PAY_PROD_000705,2500.00,250.00,2026-09-12T03:36:00,open
CB_PROD_0012,PAY_PROD_000062,2500.00,250.00,2026-08-31T02:43:00,open
CB_PROD_0013,PAY_PROD_000614,699.80,250.00,2026-09-13T00:12:00,open
CB_PROD_0014,PAY_PROD_000558,2500.00,250.00,2026-09-07T07:25:00,open
CB_PROD_0015,PAY_PROD_000482,99.80,250.00,2026-09-09T08:37:00,open
CB_PROD_0016,PAY_PROD_000663,299.80,250.00,2026-09-09T14:56:00,open
CB_PROD_0017,PAY_PROD_000420,699.80,250.00,2026-09-06T14:01:00,open
CB_PROD_0018,PAY_PROD_000464,999.80,250.00,2026-09-10T03:14:00,open
CB_PROD_0019,PAY_PROD_000091,59.80,250.00,2026-09-03T11:28:00,open
CB_PROD_0020,PAY_PROD_000924,2500.00,250.00,2026-09-11T21:23:00,open
