payment_id,expected_status,violation_types,primary_violation_types,downstream_violation_types,expected_verified_loss,notes
PAY_PROD_000001,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000002,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000003,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000004,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000005,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000006,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000007,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000008,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000009,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000010,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000011,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000012,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000013,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000014,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000015,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000016,UNRESOLVED_RELATIONSHIP,,,,0.00,Ambiguous bank-settlement relationship; should not be force-matched.
PAY_PROD_000017,PASS,,,,0.00,
PAY_PROD_000018,PASS,,,,0.00,
PAY_PROD_000019,PASS,,,,0.00,
PAY_PROD_000020,PASS,,,,0.00,
PAY_PROD_000021,PASS,,,,0.00,
PAY_PROD_000022,PASS,,,,0.00,
PAY_PROD_000023,PASS,,,,0.00,
PAY_PROD_000024,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T15:20:00, due 2026-08-27T15:20:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000025,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T15:37:00, due 2026-08-27T15:37:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000026,VIOLATION,GST_ON_FEE;SETTLEMENT_SLA,GST_ON_FEE;SETTLEMENT_SLA,,2.17,"SLA proven from raw records: captured 2026-08-25T15:50:00, due 2026-08-27T15:50:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000027,VIOLATION,GST_ON_FEE;MDR_RATE;SETTLEMENT_SLA,MDR_RATE;SETTLEMENT_SLA,GST_ON_FEE,1.89,"SLA proven from raw records: captured 2026-08-25T16:17:00, due 2026-08-27T16:17:00, settled 2026-09-01T14:30:00 (3 business days late)."
PAY_PROD_000028,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,"SLA proven from raw records: captured 2026-08-25T16:34:00, due 2026-08-27T16:34:00, settled 2026-09-01T14:30:00 (3 business days late)."
