order_id,customer_id,amount,created_at,expected_status,payment_id
ORD_PROD_000001,CUST_00290,1999.00,2026-08-29T10:34:00,paid,PAY_PROD_000001
ORD_PROD_000002,CUST_00051,2499.00,2026-08-29T10:18:00,paid,PAY_PROD_000002
ORD_PROD_000003,CUST_00093,3499.00,2026-08-29T10:17:00,paid,PAY_PROD_000003
ORD_PROD_000004,CUST_00389,4999.00,2026-08-29T10:46:00,paid,PAY_PROD_000004
ORD_PROD_000005,CUST_00354,7499.00,2026-08-29T10:56:00,paid,PAY_PROD_000005
ORD_PROD_000006,CUST_00393,9999.00,2026-08-29T10:59:00,paid,PAY_PROD_000006
ORD_PROD_000007,CUST_00039,12499.00,2026-08-29T11:01:00,paid,PAY_PROD_000007
ORD_PROD_000008,CUST_00268,14999.00,2026-08-29T10:32:00,paid,PAY_PROD_000008
ORD_PROD_000009,CUST_00129,1999.00,2026-08-29T10:53:00,paid,PAY_PROD_000009
ORD_PROD_000010,CUST_00418,2499.00,2026-08-29T10:30:00,paid,PAY_PROD_000010
ORD_PROD_000011,CUST_00064,3499.00,2026-08-29T10:55:00,paid,PAY_PROD_000011
ORD_PROD_000012,CUST_00407,4999.00,2026-08-29T10:27:00,paid,PAY_PROD_000012
ORD_PROD_000013,CUST_00334,7499.00,2026-08-29T10:32:00,paid,PAY_PROD_000013
ORD_PROD_000014,CUST_00409,9999.00,2026-08-29T10:48:00,paid,PAY_PROD_000014
ORD_PROD_000015,CUST_00125,12499.00,2026-08-29T10:51:00,paid,PAY_PROD_000015
ORD_PROD_000016,CUST_00102,14999.00,2026-08-29T10:44:00,paid,PAY_PROD_000016
ORD_PROD_000017,CUST_00074,14999.50,2026-08-25T12:47:00,paid,PAY_PROD_000017
ORD_PROD_000018,CUST_00372,799.00,2026-08-25T13:24:00,paid,PAY_PROD_000018
ORD_PROD_000019,CUST_00378,7499.00,2026-08-25T13:36:00,paid,PAY_PROD_000019
ORD_PROD_000020,CUST_00152,1499.00,2026-08-25T13:20:00,paid,PAY_PROD_000020
