payment_id,order_id,amount,currency,payment_method,card_network,card_scope,captured_at,fee,tax,status
PAY_PROD_000001,ORD_PROD_000001,1999.00,INR,card,RuPay,domestic,2026-08-29T11:00:00,30.98,5.58,captured
PAY_PROD_000002,ORD_PROD_000002,2499.00,INR,card,RuPay,domestic,2026-08-29T11:01:00,38.73,6.97,captured
PAY_PROD_000003,ORD_PROD_000003,3499.00,INR,card,RuPay,domestic,2026-08-29T11:02:00,54.23,9.76,captured
PAY_PROD_000004,ORD_PROD_000004,4999.00,INR,card,Mastercard,domestic,2026-08-29T11:03:00,77.48,13.95,captured
PAY_PROD_000005,ORD_PROD_000005,7499.00,INR,card,Mastercard,domestic,2026-08-29T11:04:00,116.23,20.92,captured
PAY_PROD_000006,ORD_PROD_000006,9999.00,INR,card,Visa,domestic,2026-08-29T11:05:00,154.98,27.90,captured
PAY_PROD_000007,ORD_PROD_000007,12499.00,INR,card,RuPay,domestic,2026-08-29T11:06:00,193.73,34.87,captured
PAY_PROD_000008,ORD_PROD_000008,14999.00,INR,card,RuPay,domestic,2026-08-29T11:07:00,232.48,41.85,captured
PAY_PROD_000009,ORD_PROD_000009,1999.00,INR,card,Visa,domestic,2026-08-29T11:00:00,30.98,5.58,captured
PAY_PROD_000010,ORD_PROD_000010,2499.00,INR,card,Mastercard,domestic,2026-08-29T11:01:00,38.73,6.97,captured
PAY_PROD_000011,ORD_PROD_000011,3499.00,INR,card,Visa,domestic,2026-08-29T11:02:00,54.23,9.76,captured
PAY_PROD_000012,ORD_PROD_000012,4999.00,INR,card,RuPay,domestic,2026-08-29T11:03:00,77.48,13.95,captured
PAY_PROD_000013,ORD_PROD_000013,7499.00,INR,card,Visa,domestic,2026-08-29T11:04:00,116.23,20.92,captured
PAY_PROD_000014,ORD_PROD_000014,9999.00,INR,card,Visa,domestic,2026-08-29T11:05:00,154.98,27.90,captured
PAY_PROD_000015,ORD_PROD_000015,12499.00,INR,card,Visa,domestic,2026-08-29T11:06:00,193.73,34.87,captured
PAY_PROD_000016,ORD_PROD_000016,14999.00,INR,card,Mastercard,domestic,2026-08-29T11:07:00,232.48,41.85,captured
PAY_PROD_000017,ORD_PROD_000017,14999.50,INR,card,RuPay,domestic,2026-08-25T13:14:00,232.49,41.85,captured
PAY_PROD_000018,ORD_PROD_000018,799.00,INR,card,RuPay,domestic,2026-08-25T13:33:00,12.38,2.23,captured
PAY_PROD_000019,ORD_PROD_000019,7499.00,INR,card,RuPay,domestic,2026-08-25T13:48:00,116.23,20.92,captured
PAY_PROD_000020,ORD_PROD_000020,1499.00,INR,card,Mastercard,domestic,2026-08-25T14:05:00,23.23,4.18,captured
PAY_PROD_000021,ORD_PROD_000021,499.00,INR,card,RuPay,domestic,2026-08-25T14:29:00,7.73,1.39,captured
PAY_PROD_000022,ORD_PROD_000022,19999.50,INR,card,Mastercard,domestic,2026-08-25T14:42:00,309.99,55.80,captured
PAY_PROD_000023,ORD_PROD_000023,2499.50,INR,card,Visa,domestic,2026-08-25T14:58:00,38.74,6.97,captured
PAY_PROD_000024,ORD_PROD_000024,2499.00,INR,card,Visa,domestic,2026-08-25T15:20:00,38.73,6.97,captured
PAY_PROD_000025,ORD_PROD_000025,2499.50,INR,card,Mastercard,domestic,2026-08-25T15:37:00,38.74,6.97,captured
PAY_PROD_000026,ORD_PROD_000026,3499.00,INR,card,Mastercard,domestic,2026-08-25T15:50:00,54.23,11.93,captured
PAY_PROD_000027,ORD_PROD_000027,799.00,INR,card,Mastercard,domestic,2026-08-25T16:17:00,13.98,2.52,captured
PAY_PROD_000028,ORD_PROD_000028,4999.00,INR,card,RuPay,domestic,2026-08-25T16:34:00,77.48,13.95,captured
PAY_PROD_000029,ORD_PROD_000029,12499.50,INR,card,Mastercard,domestic,2026-08-25T16:43:00,193.74,34.87,captured
PAY_PROD_000030,ORD_PROD_000030,499.00,INR,card,RuPay,domestic,2026-08-25T17:06:00,7.73,1.39,captured
PAY_PROD_000031,ORD_PROD_000031,12499.00,INR,card,RuPay,domestic,2026-08-25T17:24:00,193.73,34.87,captured
PAY_PROD_000032,ORD_PROD_000032,299.00,INR,card,Visa,domestic,2026-08-25T17:42:00,4.63,0.83,captured
PAY_PROD_000033,ORD_PROD_000033,2499.00,INR,card,Mastercard,domestic,2026-08-25T18:03:00,38.73,6.97,captured
PAY_PROD_000034,ORD_PROD_000034,9999.00,INR,card,Mastercard,domestic,2026-08-25T18:12:00,154.98,27.90,captured
PAY_PROD_000035,ORD_PROD_000035,3499.00,INR,card,Mastercard,domestic,2026-08-25T18:41:00,54.23,9.76,captured
PAY_PROD_000036,ORD_PROD_000036,499.50,INR,card,Visa,domestic,2026-08-25T18:56:00,7.74,1.39,captured
PAY_PROD_000037,ORD_PROD_000037,14999.50,INR,card,RuPay,domestic,2026-08-25T19:13:00,232.49,41.85,captured
PAY_PROD_000038,ORD_PROD_000038,4999.00,INR,card,Mastercard,domestic,2026-08-25T19:30:00,87.48,15.75,captured
PAY_PROD_000039,ORD_PROD_000039,799.00,INR,card,Mastercard,domestic,2026-08-25T19:48:00,12.38,2.23,captured
PAY_PROD_000040,ORD_PROD_000040,19999.00,INR,card,Mastercard,domestic,2026-08-25T20:08:00,309.98,55.80,captured
PAY_PROD_000041,ORD_PROD_000041,1499.00,INR,card,RuPay,domestic,2026-08-25T20:24:00,23.23,4.18,captured
PAY_PROD_000042,ORD_PROD_000042,1499.00,INR,card,Mastercard,domestic,2026-08-25T20:39:00,23.23,4.18,captured
PAY_PROD_000043,ORD_PROD_000043,1999.00,INR,card,RuPay,domestic,2026-08-25T20:56:00,30.98,5.58,captured
PAY_PROD_000044,ORD_PROD_000044,9999.99,INR,card,Visa,domestic,2026-08-25T21:17:00,155.00,27.90,captured
PAY_PROD_000045,ORD_PROD_000045,2499.99,INR,card,Mastercard,domestic,2026-08-25T21:36:00,38.75,6.98,captured
PAY_PROD_000046,ORD_PROD_000046,14999.00,INR,card,RuPay,domestic,2026-08-25T21:54:00,232.48,41.85,captured
PAY_PROD_000047,ORD_PROD_000047,12499.00,INR,card,RuPay,domestic,2026-08-25T22:10:00,193.73,34.87,captured
PAY_PROD_000048,ORD_PROD_000048,12499.50,INR,card,Visa,domestic,2026-08-25T22:34:00,193.74,34.87,captured
PAY_PROD_000049,ORD_PROD_000049,4999.00,INR,card,Visa,domestic,2026-08-25T22:44:00,77.48,13.95,captured
PAY_PROD_000050,ORD_PROD_000050,299.00,INR,card,Mastercard,domestic,2026-08-25T23:03:00,4.63,0.83,captured
PAY_PROD_000051,ORD_PROD_000051,2499.00,INR,card,Mastercard,domestic,2026-08-25T23:23:00,38.73,6.97,captured
PAY_PROD_000052,ORD_PROD_000052,1999.99,INR,card,Visa,domestic,2026-08-25T23:46:00,31.00,5.58,captured
PAY_PROD_000053,ORD_PROD_000053,9999.00,INR,card,RuPay,domestic,2026-08-26T00:00:00,154.98,27.90,captured
PAY_PROD_000054,ORD_PROD_000054,999.00,INR,card,RuPay,domestic,2026-08-26T00:20:00,15.48,2.79,captured
PAY_PROD_000055,ORD_PROD_000055,1999.99,INR,card,Mastercard,domestic,2026-08-26T00:41:00,31.00,5.58,captured
PAY_PROD_000056,ORD_PROD_000056,3499.99,INR,card,RuPay,domestic,2026-08-26T00:49:00,54.25,9.77,captured
PAY_PROD_000057,ORD_PROD_000057,1999.00,INR,card,Visa,domestic,2026-08-26T01:11:00,30.98,5.58,captured
PAY_PROD_000058,ORD_PROD_000058,7499.00,INR,card,Mastercard,domestic,2026-08-26T01:30:00,116.23,20.92,captured
PAY_PROD_000059,ORD_PROD_000059,4999.00,INR,card,Mastercard,domestic,2026-08-26T01:42:00,77.48,13.95,captured
PAY_PROD_000060,ORD_PROD_000060,19999.00,INR,card,Visa,domestic,2026-08-26T02:04:00,309.98,55.80,captured
PAY_PROD_000061,ORD_PROD_000061,799.99,INR,card,RuPay,domestic,2026-08-26T02:28:00,14.00,2.52,captured
PAY_PROD_000062,ORD_PROD_000062,14999.99,INR,card,Visa,domestic,2026-08-26T02:43:00,232.50,41.85,captured
PAY_PROD_000063,ORD_PROD_000063,4999.99,INR,card,Mastercard,domestic,2026-08-26T02:54:00,77.50,13.95,captured
PAY_PROD_000064,ORD_PROD_000064,7499.99,INR,card,RuPay,domestic,2026-08-26T03:22:00,116.25,20.93,captured
PAY_PROD_000065,ORD_PROD_000065,19999.50,INR,card,RuPay,domestic,2026-08-26T03:37:00,309.99,55.80,captured
PAY_PROD_000066,ORD_PROD_000066,499.00,INR,card,Mastercard,domestic,2026-08-26T03:56:00,7.73,1.39,captured
PAY_PROD_000067,ORD_PROD_000067,2499.00,INR,card,Visa,domestic,2026-08-26T04:06:00,43.73,7.87,captured
PAY_PROD_000068,ORD_PROD_000068,4999.50,INR,card,Visa,domestic,2026-08-26T04:30:00,77.49,13.95,captured
PAY_PROD_000069,ORD_PROD_000069,19999.00,INR,card,RuPay,domestic,2026-08-26T04:49:00,309.98,55.80,captured
PAY_PROD_000070,ORD_PROD_000070,499.00,INR,card,RuPay,domestic,2026-08-26T05:07:00,7.73,1.39,captured
PAY_PROD_000071,ORD_PROD_000071,4999.99,INR,card,RuPay,domestic,2026-08-26T05:24:00,77.50,13.95,captured
PAY_PROD_000072,ORD_PROD_000072,3499.99,INR,card,Visa,domestic,2026-08-26T05:36:00,54.25,9.77,captured
PAY_PROD_000073,ORD_PROD_000073,12499.00,INR,card,Visa,domestic,2026-08-26T05:55:00,193.73,34.87,captured
PAY_PROD_000074,ORD_PROD_000074,2499.00,INR,card,Mastercard,domestic,2026-08-26T06:14:00,38.73,6.97,captured
PAY_PROD_000075,ORD_PROD_000075,3499.99,INR,card,Visa,domestic,2026-08-26T06:31:00,54.25,9.77,captured
PAY_PROD_000076,ORD_PROD_000076,499.00,INR,card,Visa,domestic,2026-08-26T06:53:00,7.73,1.39,captured
PAY_PROD_000077,ORD_PROD_000077,4999.99,INR,card,Mastercard,domestic,2026-08-26T07:12:00,77.50,13.95,captured
PAY_PROD_000078,ORD_PROD_000078,2499.00,INR,card,RuPay,domestic,2026-08-26T07:31:00,38.73,6.97,captured
PAY_PROD_000079,ORD_PROD_000079,4999.00,INR,card,RuPay,domestic,2026-08-26T07:47:00,77.48,13.95,captured
PAY_PROD_000080,ORD_PROD_000080,299.00,INR,card,Visa,domestic,2026-08-26T08:10:00,4.63,0.83,captured
PAY_PROD_000081,ORD_PROD_000081,499.00,INR,card,Visa,domestic,2026-08-26T08:29:00,7.73,1.39,captured
PAY_PROD_000082,ORD_PROD_000082,1499.00,INR,card,Mastercard,domestic,2026-08-26T08:45:00,23.23,4.18,captured
PAY_PROD_000083,ORD_PROD_000083,999.00,INR,card,Mastercard,domestic,2026-08-26T09:00:00,15.48,2.79,captured
PAY_PROD_000084,ORD_PROD_000084,12499.00,INR,card,Mastercard,domestic,2026-08-26T09:14:00,193.73,34.87,captured
PAY_PROD_000085,ORD_PROD_000085,14999.00,INR,card,Mastercard,domestic,2026-08-26T09:39:00,232.48,41.85,captured
PAY_PROD_000086,ORD_PROD_000086,9999.00,INR,card,RuPay,domestic,2026-08-26T09:48:00,154.98,27.90,captured
PAY_PROD_000087,ORD_PROD_000087,199.00,INR,card,Mastercard,domestic,2026-08-26T10:08:00,3.09,0.55,captured
PAY_PROD_000088,ORD_PROD_000088,9999.00,INR,card,Mastercard,domestic,2026-08-26T10:32:00,154.98,27.90,captured
PAY_PROD_000089,ORD_PROD_000089,1999.50,INR,card,Mastercard,domestic,2026-08-26T10:48:00,30.99,5.58,captured
PAY_PROD_000090,ORD_PROD_000090,1499.50,INR,card,RuPay,domestic,2026-08-26T11:05:00,23.24,4.18,captured
PAY_PROD_000091,ORD_PROD_000091,299.00,INR,card,Mastercard,domestic,2026-08-26T11:28:00,4.63,0.83,captured
PAY_PROD_000092,ORD_PROD_000092,12499.00,INR,card,Mastercard,domestic,2026-08-26T11:36:00,193.73,42.62,captured
PAY_PROD_000093,ORD_PROD_000093,19999.00,INR,card,Mastercard,domestic,2026-08-26T12:02:00,309.98,55.80,captured
PAY_PROD_000094,ORD_PROD_000094,499.00,INR,card,Visa,domestic,2026-08-26T12:20:00,7.73,1.39,captured
PAY_PROD_000095,ORD_PROD_000095,19999.00,INR,card,Mastercard,domestic,2026-08-26T12:40:00,309.98,55.80,captured
PAY_PROD_000096,ORD_PROD_000096,14999.00,INR,card,Visa,domestic,2026-08-26T12:49:00,232.48,41.85,captured
PAY_PROD_000097,ORD_PROD_000097,1499.50,INR,card,RuPay,domestic,2026-08-26T13:06:00,23.24,4.18,captured
PAY_PROD_000098,ORD_PROD_000098,2499.50,INR,card,RuPay,domestic,2026-08-26T13:28:00,38.74,6.97,captured
PAY_PROD_000099,ORD_PROD_000099,199.50,INR,card,Visa,domestic,2026-08-26T13:46:00,3.09,0.56,captured
PAY_PROD_000100,ORD_PROD_000100,2499.00,INR,card,RuPay,domestic,2026-08-26T14:01:00,38.73,6.97,captured
PAY_PROD_000101,ORD_PROD_000101,1499.50,INR,card,Visa,domestic,2026-08-26T14:29:00,23.24,4.18,captured
PAY_PROD_000102,ORD_PROD_000102,7499.99,INR,card,Visa,domestic,2026-08-26T14:41:00,131.25,23.63,captured
PAY_PROD_000103,ORD_PROD_000103,299.99,INR,card,Mastercard,domestic,2026-08-26T14:56:00,4.65,0.84,captured
PAY_PROD_000104,ORD_PROD_000104,499.99,INR,card,Mastercard,domestic,2026-08-26T15:18:00,7.75,1.40,captured
PAY_PROD_000105,ORD_PROD_000105,1999.00,INR,card,RuPay,domestic,2026-08-26T15:30:00,30.98,5.58,captured
PAY_PROD_000106,ORD_PROD_000106,499.00,INR,card,Visa,domestic,2026-08-26T15:56:00,7.73,1.39,captured
PAY_PROD_000107,ORD_PROD_000107,9999.00,INR,card,RuPay,domestic,2026-08-26T16:08:00,154.98,27.90,captured
PAY_PROD_000108,ORD_PROD_000108,999.99,INR,card,RuPay,domestic,2026-08-26T16:25:00,15.50,2.79,captured
PAY_PROD_000109,ORD_PROD_000109,999.99,INR,card,RuPay,domestic,2026-08-26T16:53:00,15.50,2.79,captured
PAY_PROD_000110,ORD_PROD_000110,14999.99,INR,card,Visa,domestic,2026-08-26T17:02:00,232.50,41.85,captured
PAY_PROD_000111,ORD_PROD_000111,1499.00,INR,card,Visa,domestic,2026-08-26T17:27:00,23.23,4.18,captured
PAY_PROD_000112,ORD_PROD_000112,4999.50,INR,card,Visa,domestic,2026-08-26T17:39:00,77.49,13.95,captured
PAY_PROD_000113,ORD_PROD_000113,19999.00,INR,card,Mastercard,domestic,2026-08-26T18:04:00,309.98,55.80,captured
PAY_PROD_000114,ORD_PROD_000114,14999.50,INR,card,Visa,domestic,2026-08-26T18:14:00,232.49,41.85,captured
PAY_PROD_000115,ORD_PROD_000115,299.00,INR,card,RuPay,domestic,2026-08-26T18:38:00,4.63,0.83,captured
PAY_PROD_000116,ORD_PROD_000116,799.00,INR,card,RuPay,domestic,2026-08-26T18:50:00,12.38,2.23,captured
PAY_PROD_000117,ORD_PROD_000117,499.50,INR,card,RuPay,domestic,2026-08-26T19:17:00,7.74,1.39,captured
PAY_PROD_000118,ORD_PROD_000118,1499.50,INR,card,Mastercard,domestic,2026-08-26T19:29:00,23.24,4.18,captured
PAY_PROD_000119,ORD_PROD_000119,12499.00,INR,card,RuPay,domestic,2026-08-26T19:53:00,193.73,34.87,captured
PAY_PROD_000120,ORD_PROD_000120,19999.00,INR,card,Visa,domestic,2026-08-26T20:02:00,309.98,55.80,captured
PAY_PROD_000121,ORD_PROD_000121,1499.00,INR,card,RuPay,domestic,2026-08-26T20:29:00,23.23,4.18,captured
PAY_PROD_000122,ORD_PROD_000122,799.00,INR,card,Visa,domestic,2026-08-26T20:43:00,12.38,2.23,captured
PAY_PROD_000123,ORD_PROD_000123,499.00,INR,card,RuPay,domestic,2026-08-26T20:58:00,7.73,1.39,captured
PAY_PROD_000124,ORD_PROD_000124,1499.00,INR,card,Mastercard,domestic,2026-08-26T21:12:00,23.23,4.18,captured
PAY_PROD_000125,ORD_PROD_000125,199.00,INR,card,RuPay,domestic,2026-08-26T21:34:00,3.08,0.55,captured
PAY_PROD_000126,ORD_PROD_000126,199.50,INR,card,Visa,domestic,2026-08-26T21:48:00,3.09,0.56,captured
PAY_PROD_000127,ORD_PROD_000127,2499.00,INR,card,Visa,domestic,2026-08-26T22:10:00,38.73,6.97,captured
PAY_PROD_000128,ORD_PROD_000128,4999.99,INR,card,Visa,domestic,2026-08-26T22:28:00,77.50,17.05,captured
PAY_PROD_000129,ORD_PROD_000129,999.00,INR,card,Visa,domestic,2026-08-26T22:46:00,15.48,2.79,captured
PAY_PROD_000130,ORD_PROD_000130,19999.50,INR,card,Mastercard,domestic,2026-08-26T23:05:00,349.99,63.00,captured
PAY_PROD_000131,ORD_PROD_000131,4999.00,INR,card,Mastercard,domestic,2026-08-26T23:28:00,77.48,13.95,captured
PAY_PROD_000132,ORD_PROD_000132,1999.00,INR,card,Visa,domestic,2026-08-26T23:40:00,30.98,5.58,captured
PAY_PROD_000133,ORD_PROD_000133,999.99,INR,card,Mastercard,domestic,2026-08-26T23:59:00,15.50,2.79,captured
PAY_PROD_000134,ORD_PROD_000134,14999.00,INR,card,RuPay,domestic,2026-08-27T00:21:00,232.48,41.85,captured
PAY_PROD_000135,ORD_PROD_000135,19999.00,INR,card,Visa,domestic,2026-08-27T00:30:00,309.98,55.80,captured
PAY_PROD_000136,ORD_PROD_000136,2499.50,INR,card,Visa,domestic,2026-08-27T00:56:00,38.74,6.97,captured
PAY_PROD_000137,ORD_PROD_000137,799.50,INR,card,Visa,domestic,2026-08-27T01:06:00,12.39,2.23,captured
PAY_PROD_000138,ORD_PROD_000138,499.00,INR,card,Mastercard,domestic,2026-08-27T01:25:00,7.73,1.39,captured
PAY_PROD_000139,ORD_PROD_000139,199.00,INR,card,Visa,domestic,2026-08-27T01:44:00,3.08,0.55,captured
PAY_PROD_000140,ORD_PROD_000140,1499.99,INR,card,Visa,domestic,2026-08-27T02:04:00,23.25,4.19,captured
PAY_PROD_000141,ORD_PROD_000141,799.50,INR,card,RuPay,domestic,2026-08-27T02:25:00,12.39,2.23,captured
PAY_PROD_000142,ORD_PROD_000142,2499.00,INR,card,Mastercard,domestic,2026-08-27T02:36:00,38.73,6.97,captured
PAY_PROD_000143,ORD_PROD_000143,12499.00,INR,card,RuPay,domestic,2026-08-27T03:01:00,193.73,34.87,captured
PAY_PROD_000144,ORD_PROD_000144,9999.50,INR,card,Mastercard,domestic,2026-08-27T03:18:00,154.99,27.90,captured
PAY_PROD_000145,ORD_PROD_000145,9999.99,INR,card,RuPay,domestic,2026-08-27T03:33:00,155.00,27.90,captured
PAY_PROD_000146,ORD_PROD_000146,999.00,INR,card,Visa,domestic,2026-08-27T03:48:00,15.48,2.79,captured
PAY_PROD_000147,ORD_PROD_000147,12499.00,INR,card,RuPay,domestic,2026-08-27T04:11:00,218.73,39.37,captured
PAY_PROD_000148,ORD_PROD_000148,7499.00,INR,card,Mastercard,domestic,2026-08-27T04:28:00,116.23,20.92,captured
PAY_PROD_000149,ORD_PROD_000149,7499.50,INR,card,Mastercard,domestic,2026-08-27T04:43:00,116.24,20.92,captured
PAY_PROD_000150,ORD_PROD_000150,499.00,INR,card,Visa,domestic,2026-08-27T05:10:00,7.73,1.39,captured
PAY_PROD_000151,ORD_PROD_000151,999.00,INR,card,Visa,domestic,2026-08-27T05:19:00,15.48,2.79,captured
PAY_PROD_000152,ORD_PROD_000152,1999.99,INR,card,RuPay,domestic,2026-08-27T05:40:00,31.00,5.58,captured
PAY_PROD_000153,ORD_PROD_000153,4999.50,INR,card,Visa,domestic,2026-08-27T06:05:00,77.49,13.95,captured
PAY_PROD_000154,ORD_PROD_000154,499.50,INR,card,Visa,domestic,2026-08-27T06:23:00,7.74,1.39,captured
PAY_PROD_000155,ORD_PROD_000155,1999.50,INR,card,Visa,domestic,2026-08-27T06:35:00,30.99,5.58,captured
