refund_id,payment_id,amount,created_at,status
REF_PROD_000021,PAY_PROD_000021,99.80,2026-08-25T21:29:00,processed
REF_PROD_000025,PAY_PROD_000025,999.80,2026-08-26T17:37:00,processed
REF_PROD_000031,PAY_PROD_000031,1249.90,2026-08-26T10:24:00,processed
REF_PROD_000042,PAY_PROD_000042,299.80,2026-08-26T05:39:00,processed
REF_PROD_000058,PAY_PROD_000058,1874.75,2026-08-27T07:30:00,processed
REF_PROD_000065,PAY_PROD_000065,7999.80,2026-08-26T20:37:00,processed
REF_PROD_000066,PAY_PROD_000066,49.90,2026-08-26T20:56:00,processed
REF_PROD_000070,PAY_PROD_000070,49.90,2026-08-26T16:07:00,processed
REF_PROD_000080,PAY_PROD_000080,74.75,2026-08-26T14:10:00,processed
REF_PROD_000083,PAY_PROD_000083,199.80,2026-08-27T04:00:00,processed
REF_PROD_000091,PAY_PROD_000091,74.75,2026-08-27T10:28:00,processed
REF_PROD_000105,PAY_PROD_000105,199.90,2026-08-27T21:30:00,processed
REF_PROD_000107,PAY_PROD_000107,1999.80,2026-08-27T07:08:00,processed
REF_PROD_000115,PAY_PROD_000115,119.60,2026-08-27T16:38:00,processed
REF_PROD_000116,PAY_PROD_000116,319.60,2026-08-26T22:50:00,processed
REF_PROD_000136,PAY_PROD_000136,249.95,2026-08-27T20:56:00,processed
REF_PROD_000139,PAY_PROD_000139,99.50,2026-08-27T12:44:00,processed
REF_PROD_000149,PAY_PROD_000149,2999.80,2026-08-28T03:43:00,processed
REF_PROD_000150,PAY_PROD_000150,99.80,2026-08-27T21:10:00,processed
REF_PROD_000160,PAY_PROD_000160,249.75,2026-08-28T14:07:00,processed
REF_PROD_000167,PAY_PROD_000167,2499.80,2026-08-28T16:12:00,processed
REF_PROD_000185,PAY_PROD_000185,999.50,2026-08-28T05:36:00,processed
REF_PROD_000187,PAY_PROD_000187,7999.60,2026-08-28T19:17:00,processed
REF_PROD_000189,PAY_PROD_000189,2999.60,2026-08-27T20:48:00,processed
REF_PROD_000198,PAY_PROD_000198,1249.75,2026-08-28T20:25:00,processed
REF_PROD_000206,PAY_PROD_000206,399.99,2026-08-29T00:51:00,processed
REF_PROD_000211,PAY_PROD_000211,2599.99,2026-08-29T02:23:00,processed
REF_PROD_000223,PAY_PROD_000223,999.90,2026-08-28T10:54:00,processed
REF_PROD_000226,PAY_PROD_000226,699.80,2026-08-28T09:56:00,processed
REF_PROD_000237,PAY_PROD_000237,1499.80,2026-08-29T01:07:00,processed
REF_PROD_000239,PAY_PROD_000239,12599.00,2026-08-29T13:51:00,processed
REF_PROD_000241,PAY_PROD_000241,6249.50,2026-08-29T09:27:00,processed
REF_PROD_000252,PAY_PROD_000252,4999.75,2026-08-29T10:42:00,processed
REF_PROD_000258,PAY_PROD_000258,2499.75,2026-08-29T02:33:00,processed
REF_PROD_000291,PAY_PROD_000291,1499.80,2026-08-29T18:24:00,processed
REF_PROD_000293,PAY_PROD_000293,7500.00,2026-08-29T13:03:00,processed
REF_PROD_000294,PAY_PROD_000294,374.88,2026-08-29T19:22:00,processed
REF_PROD_000295,PAY_PROD_000295,99.50,2026-08-29T23:31:00,processed
REF_PROD_000303,PAY_PROD_000303,699.80,2026-08-29T20:56:00,processed
REF_PROD_000307,PAY_PROD_000307,1249.75,2026-08-29T11:13:00,processed
REF_PROD_000323,PAY_PROD_000323,50.00,2026-08-29T11:54:00,processed
REF_PROD_000332,PAY_PROD_000332,1000.00,2026-08-29T23:38:00,processed
REF_PROD_000335,PAY_PROD_000335,200.00,2026-08-30T09:35:00,processed
REF_PROD_000337,PAY_PROD_000337,1499.90,2026-08-30T14:07:00,processed
REF_PROD_000347,PAY_PROD_000347,19.90,2026-08-29T22:06:00,processed
REF_PROD_000363,PAY_PROD_000363,749.90,2026-08-30T19:54:00,processed
REF_PROD_000401,PAY_PROD_000401,3750.00,2026-08-30T19:24:00,processed
REF_PROD_000408,PAY_PROD_000408,999.90,2026-08-30T16:26:00,processed
REF_PROD_000416,PAY_PROD_000416,300.00,2026-08-30T20:53:00,processed
REF_PROD_000418,PAY_PROD_000418,2499.88,2026-08-31T06:27:00,processed
REF_PROD_000455,PAY_PROD_000455,749.50,2026-08-31T11:37:00,processed
REF_PROD_000457,PAY_PROD_000457,79.90,2026-08-31T14:15:00,processed
REF_PROD_000461,PAY_PROD_000461,1999.80,2026-08-31T17:20:00,processed
REF_PROD_000517,PAY_PROD_000517,6249.50,2026-09-01T22:08:00,processed
REF_PROD_000520,PAY_PROD_000520,374.88,2026-09-01T00:05:00,processed
REF_PROD_000523,PAY_PROD_000523,149.50,2026-09-01T21:05:00,processed
REF_PROD_000534,PAY_PROD_000534,299.90,2026-09-01T03:21:00,processed
REF_PROD_000549,PAY_PROD_000549,624.75,2026-09-01T22:43:00,processed
REF_PROD_000560,PAY_PROD_000560,1999.90,2026-09-02T12:06:00,processed
REF_PROD_000577,PAY_PROD_000577,874.75,2026-09-02T15:08:00,processed
REF_PROD_000600,PAY_PROD_000600,10000.00,2026-09-02T12:03:00,processed
REF_PROD_000606,PAY_PROD_000606,299.80,2026-09-02T01:54:00,processed
REF_PROD_000623,PAY_PROD_000623,874.75,2026-09-02T04:59:00,processed
REF_PROD_000624,PAY_PROD_000624,999.50,2026-09-02T14:14:00,processed
REF_PROD_000639,PAY_PROD_000639,1249.95,2026-09-02T12:50:00,processed
REF_PROD_000651,PAY_PROD_000651,20.00,2026-09-03T10:23:00,processed
REF_PROD_000655,PAY_PROD_000655,199.75,2026-09-03T16:39:00,processed
REF_PROD_000668,PAY_PROD_000668,249.50,2026-09-03T22:27:00,processed
REF_PROD_000672,PAY_PROD_000672,1499.95,2026-09-03T21:37:00,processed
REF_PROD_000675,PAY_PROD_000675,3124.75,2026-09-03T18:31:00,processed
REF_PROD_000676,PAY_PROD_000676,99.75,2026-09-03T03:53:00,processed
REF_PROD_000677,PAY_PROD_000677,19.95,2026-09-03T15:14:00,processed
REF_PROD_000687,PAY_PROD_000687,1049.00,2026-09-04T03:11:00,processed
REF_PROD_000698,PAY_PROD_000698,99.80,2026-09-03T21:31:00,processed
REF_PROD_000703,PAY_PROD_000703,249.90,2026-09-03T20:55:00,processed
REF_PROD_000712,PAY_PROD_000712,2499.75,2026-09-04T10:47:00,processed
REF_PROD_000724,PAY_PROD_000724,1399.80,2026-09-04T12:14:00,processed
REF_PROD_000725,PAY_PROD_000725,199.60,2026-09-03T14:38:00,processed
REF_PROD_000726,PAY_PROD_000726,119.60,2026-09-03T22:54:00,processed
REF_PROD_000731,PAY_PROD_000731,999.60,2026-09-04T05:22:00,processed
REF_PROD_000787,PAY_PROD_000787,499.75,2026-09-05T06:13:00,processed
REF_PROD_000788,PAY_PROD_000788,1399.60,2026-09-05T08:24:00,processed
REF_PROD_000801,PAY_PROD_000801,159.80,2026-09-05T14:25:00,processed
REF_PROD_000812,PAY_PROD_000812,3749.88,2026-09-05T00:41:00,processed
REF_PROD_000816,PAY_PROD_000816,999.90,2026-09-05T16:59:00,processed
REF_PROD_000828,PAY_PROD_000828,2499.80,2026-09-04T22:24:00,processed
REF_PROD_000856,PAY_PROD_000856,399.60,2026-09-05T13:48:00,processed
REF_PROD_000871,PAY_PROD_000871,125.00,2026-09-06T04:23:00,processed
REF_PROD_000875,PAY_PROD_000875,199.90,2026-09-06T01:32:00,processed
REF_PROD_000884,PAY_PROD_000884,1999.80,2026-09-06T09:12:00,processed
REF_PROD_000899,PAY_PROD_000899,59.80,2026-09-05T23:50:00,processed
REF_PROD_000900,PAY_PROD_000900,2999.60,2026-09-06T20:10:00,processed
REF_PROD_000911,PAY_PROD_000911,249.75,2026-09-06T02:24:00,processed
REF_PROD_000923,PAY_PROD_000923,149.75,2026-09-06T04:00:00,processed
