settlement_id,payment_id,gross_amount,fee,tax,refund_adjustment,other_adjustment,net_amount,settled_at
SET_AMB_A,PAY_PROD_000001,1999.00,30.98,5.58,0.00,0.00,1962.44,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000002,2499.00,38.73,6.97,0.00,0.00,2453.30,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000003,3499.00,54.23,9.76,0.00,0.00,3435.01,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000004,4999.00,77.48,13.95,0.00,0.00,4907.57,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000005,7499.00,116.23,20.92,0.00,0.00,7361.85,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000006,9999.00,154.98,27.90,0.00,0.00,9816.12,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000007,12499.00,193.73,34.87,0.00,0.00,12270.40,2026-09-01T14:20:00
SET_AMB_A,PAY_PROD_000008,14999.00,232.48,41.85,0.00,0.00,14724.67,2026-09-01T14:20:00
SET_AMB_B,PAY_PROD_000009,1999.00,30.98,5.58,0.00,0.00,1962.44,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000010,2499.00,38.73,6.97,0.00,0.00,2453.30,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000011,3499.00,54.23,9.76,0.00,0.00,3435.01,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000012,4999.00,77.48,13.95,0.00,0.00,4907.57,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000013,7499.00,116.23,20.92,0.00,0.00,7361.85,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000014,9999.00,154.98,27.90,0.00,0.00,9816.12,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000015,12499.00,193.73,34.87,0.00,0.00,12270.40,2026-09-01T14:12:00
SET_AMB_B,PAY_PROD_000016,14999.00,232.48,41.85,0.00,0.00,14724.67,2026-09-01T14:12:00
SET_PROD_0001,PAY_PROD_000017,14999.50,232.49,41.85,0.00,0.00,14725.16,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000018,799.00,12.38,2.23,0.00,0.00,784.39,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000019,7499.00,116.23,20.92,0.00,0.00,7361.85,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000020,1499.00,23.23,4.18,0.00,0.00,1471.59,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000021,499.00,7.73,1.39,99.80,0.00,390.08,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000022,19999.50,309.99,55.80,0.00,0.00,19633.71,2026-08-27T14:13:00
SET_PROD_0001,PAY_PROD_000023,2499.50,38.74,6.97,0.00,0.00,2453.79,2026-08-27T14:13:00
SET_PROD_0002,PAY_PROD_000024,2499.00,38.73,6.97,0.00,0.00,2453.30,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000025,2499.50,38.74,6.97,999.80,0.00,1453.99,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000026,3499.00,54.23,11.93,0.00,0.00,3432.84,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000027,799.00,13.98,2.52,0.00,0.00,782.50,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000028,4999.00,77.48,13.95,0.00,0.00,4907.57,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000029,12499.50,193.74,34.87,0.00,0.00,12270.89,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000030,499.00,7.73,1.39,0.00,0.00,489.88,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000031,12499.00,193.73,34.87,2499.80,0.00,9770.60,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000032,299.00,4.63,0.83,0.00,0.00,293.54,2026-09-01T14:30:00
SET_PROD_0002,PAY_PROD_000033,2499.00,38.73,6.97,0.00,0.00,2453.30,2026-09-01T14:30:00
SET_PROD_0003,PAY_PROD_000034,9999.00,154.98,27.90,0.00,0.00,9816.12,2026-08-27T14:04:00
SET_PROD_0003,PAY_PROD_000035,3499.00,54.23,9.76,0.00,0.00,3435.01,2026-08-27T14:04:00
