bank_txn_id,posted_at,description,credit,debit,currency,reference
BANK_001,2026-08-06T06:00:00,RAZORPAY SETTLEMENT SET_001,23930.12,0.00,INR,SET_001
BANK_002,2026-08-12T00:00:00,RAZORPAY SETTLEMENT SET_002,31570.23,0.00,INR,SET_002
BANK_003,2026-08-07T18:00:00,RAZORPAY SETTLEMENT SET_003,25115.49,0.00,INR,SET_003
BANK_004,2026-08-10T12:00:00,RAZORPAY SETTLEMENT SET_004,45298.45,0.00,INR,SET_004
BANK_005,2026-08-11T06:00:00,RAZORPAY SETTLEMENT SET_005,36617.77,0.00,INR,SET_005
BANK_007,2026-08-11T18:00:00,RAZORPAY SETTLEMENT SET_007,31022.03,0.00,INR,SET_007
BANK_008,2026-08-12T00:00:00,RAZORPAY SETTLEMENT SET_008,73373.01,0.00,INR,SET_008
BANK_009,2026-08-12T06:00:00,RAZORPAY SETTLEMENT SET_009,33672.65,0.00,INR,SET_009
BANK_010,2026-08-13T00:00:00,RAZORPAY SETTLEMENT SET_010,15903.70,0.00,INR,SET_010
BANK_AMB_01,2026-08-15T11:00:00,PAYMENT AGGREGATOR CREDIT,18420.00,0.00,INR,
BANK_AMB_02,2026-08-15T11:02:00,PAYMENT AGGREGATOR CREDIT,18420.00,0.00,INR,
