chargeback_id,payment_id,amount,fee,created_at,status
CB_CLAUSE_0001,PAY_CLAUSE_000032,299.80,500.00,2026-09-13T00:10:00,open
CB_CLAUSE_0002,PAY_CLAUSE_000184,699.90,500.00,2026-09-16T07:12:00,open
CB_CLAUSE_0003,PAY_CLAUSE_000346,39.80,500.00,2026-09-06T01:36:00,open
CB_CLAUSE_0004,PAY_CLAUSE_000428,159.90,500.00,2026-09-11T16:54:00,open
CB_CLAUSE_0005,PAY_CLAUSE_000539,100.00,500.00,2026-09-04T20:22:00,open
CB_CLAUSE_0006,PAY_CLAUSE_000646,199.80,500.00,2026-09-17T03:12:00,open
CB_CLAUSE_0007,PAY_CLAUSE_000489,1999.80,250.00,2026-09-04T17:27:00,open
CB_CLAUSE_0008,PAY_CLAUSE_000338,99.80,250.00,2026-09-12T13:50:00,open
CB_CLAUSE_0009,PAY_CLAUSE_000183,999.80,250.00,2026-09-06T20:41:00,open
CB_CLAUSE_0010,PAY_CLAUSE_000513,2999.80,250.00,2026-09-09T19:01:00,open
CB_CLAUSE_0011,PAY_CLAUSE_000212,159.80,250.00,2026-09-13T23:03:00,open
CB_CLAUSE_0012,PAY_CLAUSE_000666,2999.80,250.00,2026-09-16T13:01:00,open
CB_CLAUSE_0013,PAY_CLAUSE_000637,199.80,250.00,2026-09-13T09:47:00,open
CB_CLAUSE_0014,PAY_CLAUSE_000660,159.80,250.00,2026-09-09T10:55:00,open
CB_CLAUSE_0015,PAY_CLAUSE_000576,2499.80,250.00,2026-09-18T07:02:00,open
CB_CLAUSE_0016,PAY_CLAUSE_000520,699.80,250.00,2026-09-11T14:13:00,open
CB_CLAUSE_0017,PAY_CLAUSE_000409,500.00,250.00,2026-09-08T08:40:00,open
CB_CLAUSE_0018,PAY_CLAUSE_000491,2499.80,250.00,2026-08-31T15:41:00,open
CB_CLAUSE_0019,PAY_CLAUSE_000152,99.80,250.00,2026-09-16T20:18:00,open
CB_CLAUSE_0020,PAY_CLAUSE_000568,199.80,250.00,2026-09-13T01:12:00,open
CB_CLAUSE_0021,PAY_CLAUSE_000644,3000.00,250.00,2026-09-22T22:19:00,open
CB_CLAUSE_0022,PAY_CLAUSE_000210,3000.00,250.00,2026-09-10T15:00:00,open
CB_CLAUSE_0023,PAY_CLAUSE_000124,499.80,250.00,2026-09-11T05:38:00,open
CB_CLAUSE_0024,PAY_CLAUSE_000440,59.80,250.00,2026-09-14T07:47:00,open
