payment_id,expected_status,violation_types,primary_violation_types,downstream_violation_types,expected_verified_loss,clause_refs,notes
PAY_CLAUSE_000001,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000002,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000003,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000004,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000005,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000006,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000007,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000008,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000009,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000010,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000011,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000012,PASS,,,,0.00,,Member of intentionally ambiguous settlement/bank relationship; should not be force-matched.
PAY_CLAUSE_000013,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000014,PASS,,,,0.00,,
PAY_CLAUSE_000015,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000016,PASS,,,,0.00,,
PAY_CLAUSE_000017,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000018,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000019,VIOLATION,SETTLEMENT_SLA,SETTLEMENT_SLA,,0.00,6.1,Actual grouped settlement posted after this payment's T+2 due date.
PAY_CLAUSE_000020,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000021,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000022,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000023,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000024,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000025,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000026,VIOLATION,GST_ON_FEE;MDR_RATE;MISSING_BANK_SETTLEMENT,MDR_RATE;MISSING_BANK_SETTLEMENT,GST_ON_FEE,0.00,4.3;6.4;A1.2,Post-amendment transaction incorrectly charged old 1.55% MDR. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000027,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
PAY_CLAUSE_000028,VIOLATION,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,MISSING_BANK_SETTLEMENT;SETTLEMENT_SLA,,0.00,6.1;6.4,Actual grouped settlement posted after this payment's T+2 due date. Settlement completed but no corresponding bank credit exists.
