order_id,customer_id,amount,created_at,expected_status,payment_id
ORD_00001,CUST_002,10000.00,2026-08-03T12:40:00,paid,PAY_82HD9
ORD_00002,CUST_003,1800.00,2026-08-03T15:40:00,paid,PAY_00002
ORD_00003,CUST_004,1200.00,2026-08-03T18:40:00,paid,PAY_00003
ORD_00004,CUST_005,5000.00,2026-08-03T21:40:00,paid,PAY_00004
ORD_00005,CUST_006,3200.00,2026-08-04T00:40:00,paid,PAY_00005
ORD_00006,CUST_007,3200.00,2026-08-04T03:40:00,paid,PAY_00006
ORD_00007,CUST_008,4500.00,2026-08-04T06:40:00,paid,PAY_REF91
ORD_00008,CUST_009,2500.00,2026-08-04T09:40:00,paid,PAY_00008
ORD_00009,CUST_010,1800.00,2026-08-04T12:40:00,paid,PAY_00009
ORD_00010,CUST_011,15000.00,2026-08-04T15:40:00,paid,PAY_00010
ORD_00011,CUST_012,1800.00,2026-08-04T18:40:00,paid,PAY_00011
ORD_00012,CUST_013,8600.00,2026-08-04T21:40:00,paid,PAY_SLA01
ORD_00013,CUST_014,1200.00,2026-08-05T00:40:00,paid,PAY_00013
ORD_00014,CUST_015,1200.00,2026-08-05T03:40:00,paid,PAY_00014
ORD_00015,CUST_016,1800.00,2026-08-05T06:40:00,paid,PAY_00015
ORD_00016,CUST_017,3200.00,2026-08-05T09:40:00,paid,PAY_00016
ORD_00017,CUST_001,3200.00,2026-08-05T12:40:00,paid,PAY_00017
ORD_00018,CUST_002,15000.00,2026-08-05T15:40:00,paid,PAY_GST01
ORD_00019,CUST_003,1200.00,2026-08-05T18:40:00,paid,PAY_00019
ORD_00020,CUST_004,15000.00,2026-08-05T21:40:00,paid,PAY_00020
ORD_00021,CUST_005,3200.00,2026-08-06T00:40:00,paid,PAY_00021
ORD_00022,CUST_006,15000.00,2026-08-06T03:40:00,paid,PAY_00022
ORD_00023,CUST_007,8600.00,2026-08-06T06:40:00,paid,PAY_00023
ORD_00024,CUST_008,3200.00,2026-08-06T09:40:00,paid,PAY_FEE49
ORD_00025,CUST_009,12500.00,2026-08-06T12:40:00,paid,PAY_00025
ORD_00026,CUST_010,5000.00,2026-08-06T15:40:00,paid,PAY_00026
ORD_00027,CUST_011,1200.00,2026-08-06T18:40:00,paid,PAY_00027
ORD_00028,CUST_012,2500.00,2026-08-06T21:40:00,paid,PAY_00028
ORD_00029,CUST_013,8600.00,2026-08-07T00:40:00,paid,PAY_00029
ORD_00030,CUST_014,7500.00,2026-08-07T03:40:00,paid,PAY_00030
ORD_00031,CUST_015,5000.00,2026-08-07T06:40:00,paid,PAY_NOBANK
ORD_00032,CUST_016,2500.00,2026-08-07T09:40:00,paid,PAY_00032
ORD_00033,CUST_017,3200.00,2026-08-07T12:40:00,paid,PAY_00033
ORD_00034,CUST_001,7500.00,2026-08-07T15:40:00,paid,PAY_00034
ORD_00035,CUST_002,1800.00,2026-08-07T18:40:00,paid,PAY_00035
ORD_00036,CUST_003,1800.00,2026-08-07T21:40:00,paid,PAY_00036
ORD_00037,CUST_004,8600.00,2026-08-08T00:40:00,paid,PAY_00037
ORD_00038,CUST_005,1800.00,2026-08-08T03:40:00,paid,PAY_00038
ORD_00039,CUST_006,7500.00,2026-08-08T06:40:00,paid,PAY_00039
ORD_00040,CUST_007,7500.00,2026-08-08T09:40:00,paid,PAY_00040
ORD_00041,CUST_008,5000.00,2026-08-08T12:40:00,paid,PAY_00041
ORD_00042,CUST_009,1200.00,2026-08-08T15:40:00,paid,PAY_00042
ORD_00043,CUST_010,12500.00,2026-08-08T18:40:00,paid,PAY_00043
ORD_00044,CUST_011,18420.00,2026-08-08T21:40:00,paid,PAY_AMB01
ORD_00045,CUST_012,18420.00,2026-08-09T00:40:00,paid,PAY_AMB02
ORD_00046,CUST_013,15000.00,2026-08-09T03:40:00,paid,PAY_00046
ORD_00047,CUST_014,1800.00,2026-08-09T06:40:00,paid,PAY_00047
ORD_00048,CUST_015,8600.00,2026-08-09T09:40:00,paid,PAY_00048
ORD_00049,CUST_016,1800.00,2026-08-09T12:40:00,paid,PAY_00049
ORD_00050,CUST_017,15000.00,2026-08-09T15:40:00,paid,PAY_00050
ORD_00051,CUST_001,5000.00,2026-08-09T18:40:00,paid,PAY_00051
ORD_00052,CUST_002,7500.00,2026-08-09T21:40:00,paid,PAY_00052
ORD_00053,CUST_003,3200.00,2026-08-10T00:40:00,paid,PAY_00053
ORD_00054,CUST_004,1800.00,2026-08-10T03:40:00,paid,PAY_00054
ORD_00055,CUST_005,1200.00,2026-08-10T06:40:00,paid,PAY_00055
ORD_00056,CUST_006,3200.00,2026-08-10T09:40:00,paid,PAY_00056
ORD_00057,CUST_007,5000.00,2026-08-10T12:40:00,paid,PAY_00057
ORD_00058,CUST_008,1800.00,2026-08-10T15:40:00,paid,PAY_00058
ORD_00059,CUST_009,3200.00,2026-08-10T18:40:00,paid,PAY_00059
ORD_00060,CUST_010,1800.00,2026-08-10T21:40:00,paid,PAY_00060
