payment_id,order_id,amount,currency,payment_method,card_network,card_scope,captured_at,fee,tax,status
PAY_CLAUSE_000001,ORD_CLAUSE_000001,999.00,INR,card,Mastercard,domestic,2026-08-28T10:00:00,15.48,2.79,captured
PAY_CLAUSE_000002,ORD_CLAUSE_000002,1499.00,INR,card,RuPay,domestic,2026-08-28T10:01:00,23.23,4.18,captured
PAY_CLAUSE_000003,ORD_CLAUSE_000003,1999.00,INR,card,Visa,domestic,2026-08-28T10:02:00,30.98,5.58,captured
PAY_CLAUSE_000004,ORD_CLAUSE_000004,2499.00,INR,card,RuPay,domestic,2026-08-28T10:03:00,38.73,6.97,captured
PAY_CLAUSE_000005,ORD_CLAUSE_000005,3499.00,INR,card,Visa,domestic,2026-08-28T10:04:00,54.23,9.76,captured
PAY_CLAUSE_000006,ORD_CLAUSE_000006,4999.00,INR,card,Visa,domestic,2026-08-28T10:05:00,77.48,13.95,captured
PAY_CLAUSE_000007,ORD_CLAUSE_000007,999.00,INR,card,Mastercard,domestic,2026-08-28T10:00:00,15.48,2.79,captured
PAY_CLAUSE_000008,ORD_CLAUSE_000008,1499.00,INR,card,Visa,domestic,2026-08-28T10:01:00,23.23,4.18,captured
PAY_CLAUSE_000009,ORD_CLAUSE_000009,1999.00,INR,card,Visa,domestic,2026-08-28T10:02:00,30.98,5.58,captured
PAY_CLAUSE_000010,ORD_CLAUSE_000010,2499.00,INR,card,Visa,domestic,2026-08-28T10:03:00,38.73,6.97,captured
PAY_CLAUSE_000011,ORD_CLAUSE_000011,3499.00,INR,card,RuPay,domestic,2026-08-28T10:04:00,54.23,9.76,captured
PAY_CLAUSE_000012,ORD_CLAUSE_000012,4999.00,INR,card,Mastercard,domestic,2026-08-28T10:05:00,77.48,13.95,captured
PAY_CLAUSE_000013,ORD_CLAUSE_000013,12499.50,INR,card,Visa,domestic,2026-08-29T23:54:00,193.74,34.87,captured
PAY_CLAUSE_000014,ORD_CLAUSE_000014,7499.00,INR,card,Visa,domestic,2026-09-04T19:09:00,123.73,22.27,captured
PAY_CLAUSE_000015,ORD_CLAUSE_000015,199.00,INR,card,Mastercard,domestic,2026-08-30T05:30:00,3.08,0.55,captured
PAY_CLAUSE_000016,ORD_CLAUSE_000016,1999.00,INR,card,Visa,domestic,2026-09-06T22:47:00,32.98,5.94,captured
PAY_CLAUSE_000017,ORD_CLAUSE_000017,299.99,INR,card,Visa,domestic,2026-08-29T02:09:00,4.65,0.84,captured
PAY_CLAUSE_000018,ORD_CLAUSE_000018,1499.00,INR,card,RuPay,domestic,2026-09-02T21:37:00,24.73,4.45,captured
PAY_CLAUSE_000019,ORD_CLAUSE_000019,499.50,INR,card,Mastercard,domestic,2026-08-29T22:37:00,7.74,1.39,captured
PAY_CLAUSE_000020,ORD_CLAUSE_000020,999.00,INR,card,RuPay,domestic,2026-09-05T21:23:00,16.48,2.97,captured
PAY_CLAUSE_000021,ORD_CLAUSE_000021,19999.00,INR,card,RuPay,domestic,2026-08-27T18:28:00,309.98,55.80,captured
PAY_CLAUSE_000022,ORD_CLAUSE_000022,12499.99,INR,card,Visa,domestic,2026-09-02T13:19:00,206.25,37.13,captured
PAY_CLAUSE_000023,ORD_CLAUSE_000023,14999.50,INR,card,Visa,domestic,2026-08-26T21:12:00,232.49,41.85,captured
PAY_CLAUSE_000024,ORD_CLAUSE_000024,299.99,INR,card,Visa,domestic,2026-09-04T18:22:00,4.95,0.89,captured
PAY_CLAUSE_000025,ORD_CLAUSE_000025,3499.50,INR,card,Visa,domestic,2026-08-28T18:49:00,54.24,9.76,captured
PAY_CLAUSE_000026,ORD_CLAUSE_000026,499.00,INR,card,Visa,domestic,2026-09-07T02:29:00,7.73,1.39,captured
PAY_CLAUSE_000027,ORD_CLAUSE_000027,9999.50,INR,card,Mastercard,domestic,2026-08-25T18:38:00,154.99,27.90,captured
PAY_CLAUSE_000028,ORD_CLAUSE_000028,1999.00,INR,card,Visa,domestic,2026-09-06T11:19:00,32.98,5.94,captured
PAY_CLAUSE_000029,ORD_CLAUSE_000029,19999.00,INR,card,RuPay,domestic,2026-08-26T02:51:00,309.98,55.80,captured
PAY_CLAUSE_000030,ORD_CLAUSE_000030,14999.00,INR,card,Visa,domestic,2026-09-06T06:06:00,247.48,44.55,captured
PAY_CLAUSE_000031,ORD_CLAUSE_000031,12499.00,INR,card,Visa,domestic,2026-08-26T13:09:00,193.73,34.87,captured
PAY_CLAUSE_000032,ORD_CLAUSE_000032,1499.00,INR,card,Visa,domestic,2026-09-04T00:10:00,24.73,4.45,captured
PAY_CLAUSE_000033,ORD_CLAUSE_000033,3499.99,INR,card,Visa,domestic,2026-08-30T04:01:00,54.25,9.77,captured
PAY_CLAUSE_000034,ORD_CLAUSE_000034,7499.00,INR,card,RuPay,domestic,2026-09-08T03:59:00,123.73,22.27,captured
PAY_CLAUSE_000035,ORD_CLAUSE_000035,799.50,INR,card,Visa,domestic,2026-08-27T17:47:00,12.39,2.23,captured
PAY_CLAUSE_000036,ORD_CLAUSE_000036,19999.00,INR,card,Mastercard,domestic,2026-09-02T06:49:00,329.98,59.40,captured
PAY_CLAUSE_000037,ORD_CLAUSE_000037,999.99,INR,card,Visa,domestic,2026-08-30T08:36:00,15.50,2.79,captured
PAY_CLAUSE_000038,ORD_CLAUSE_000038,199.00,INR,card,Mastercard,domestic,2026-09-02T23:38:00,3.29,0.59,captured
PAY_CLAUSE_000039,ORD_CLAUSE_000039,799.99,INR,card,Visa,domestic,2026-08-26T09:25:00,12.40,2.23,captured
PAY_CLAUSE_000040,ORD_CLAUSE_000040,299.50,INR,card,Visa,domestic,2026-09-08T14:56:00,4.94,0.89,captured
PAY_CLAUSE_000041,ORD_CLAUSE_000041,9999.50,INR,card,RuPay,domestic,2026-08-30T14:40:00,154.99,27.90,captured
PAY_CLAUSE_000042,ORD_CLAUSE_000042,1999.99,INR,card,Visa,domestic,2026-09-02T17:36:00,33.00,5.94,captured
PAY_CLAUSE_000043,ORD_CLAUSE_000043,12499.00,INR,card,Mastercard,domestic,2026-08-31T07:56:00,193.73,34.87,captured
PAY_CLAUSE_000044,ORD_CLAUSE_000044,12499.00,INR,card,Visa,domestic,2026-09-03T20:58:00,206.23,37.12,captured
PAY_CLAUSE_000045,ORD_CLAUSE_000045,799.00,INR,card,RuPay,domestic,2026-08-27T01:37:00,12.38,2.23,captured
PAY_CLAUSE_000046,ORD_CLAUSE_000046,14999.99,INR,card,Visa,domestic,2026-09-08T08:01:00,247.50,44.55,captured
PAY_CLAUSE_000047,ORD_CLAUSE_000047,3499.00,INR,card,Mastercard,domestic,2026-08-29T15:38:00,54.23,9.76,captured
PAY_CLAUSE_000048,ORD_CLAUSE_000048,12499.50,INR,card,RuPay,domestic,2026-09-05T11:59:00,206.24,45.37,captured
PAY_CLAUSE_000049,ORD_CLAUSE_000049,1499.00,INR,card,RuPay,domestic,2026-08-28T19:50:00,23.23,4.18,captured
PAY_CLAUSE_000050,ORD_CLAUSE_000050,1999.99,INR,card,Mastercard,domestic,2026-09-04T12:25:00,33.00,5.94,captured
PAY_CLAUSE_000051,ORD_CLAUSE_000051,499.99,INR,card,Visa,domestic,2026-08-27T05:23:00,7.75,1.40,captured
PAY_CLAUSE_000052,ORD_CLAUSE_000052,299.00,INR,card,Mastercard,domestic,2026-09-03T17:58:00,4.93,0.89,captured
PAY_CLAUSE_000053,ORD_CLAUSE_000053,1999.99,INR,card,RuPay,domestic,2026-08-28T15:06:00,31.00,5.58,captured
PAY_CLAUSE_000054,ORD_CLAUSE_000054,799.50,INR,card,Visa,domestic,2026-09-06T22:45:00,13.19,2.37,captured
PAY_CLAUSE_000055,ORD_CLAUSE_000055,999.50,INR,card,Mastercard,domestic,2026-08-27T13:11:00,15.49,2.79,captured
PAY_CLAUSE_000056,ORD_CLAUSE_000056,1999.99,INR,card,Visa,domestic,2026-09-02T22:42:00,33.00,5.94,captured
PAY_CLAUSE_000057,ORD_CLAUSE_000057,1999.00,INR,card,Visa,domestic,2026-08-25T19:43:00,30.98,5.58,captured
PAY_CLAUSE_000058,ORD_CLAUSE_000058,199.00,INR,card,Mastercard,domestic,2026-09-08T23:14:00,3.28,0.59,captured
PAY_CLAUSE_000059,ORD_CLAUSE_000059,7499.50,INR,card,Visa,domestic,2026-08-29T16:29:00,116.24,20.92,captured
PAY_CLAUSE_000060,ORD_CLAUSE_000060,9999.50,INR,card,Mastercard,domestic,2026-09-06T23:46:00,164.99,29.70,captured
PAY_CLAUSE_000061,ORD_CLAUSE_000061,1999.99,INR,card,Visa,domestic,2026-08-26T23:11:00,31.00,5.58,captured
PAY_CLAUSE_000062,ORD_CLAUSE_000062,14999.99,INR,card,RuPay,domestic,2026-09-06T22:54:00,247.50,54.45,captured
PAY_CLAUSE_000063,ORD_CLAUSE_000063,1999.50,INR,card,Visa,domestic,2026-08-28T07:21:00,30.99,5.58,captured
PAY_CLAUSE_000064,ORD_CLAUSE_000064,12499.00,INR,card,RuPay,domestic,2026-09-05T18:24:00,206.23,37.12,captured
PAY_CLAUSE_000065,ORD_CLAUSE_000065,19999.00,INR,card,Mastercard,domestic,2026-08-28T21:51:00,309.98,55.80,captured
PAY_CLAUSE_000066,ORD_CLAUSE_000066,1499.50,INR,card,Mastercard,domestic,2026-09-08T16:06:00,24.75,4.45,captured
PAY_CLAUSE_000067,ORD_CLAUSE_000067,2499.00,INR,card,Mastercard,domestic,2026-08-27T20:09:00,38.73,6.97,captured
PAY_CLAUSE_000068,ORD_CLAUSE_000068,4999.00,INR,card,RuPay,domestic,2026-09-05T06:22:00,82.48,14.85,captured
PAY_CLAUSE_000069,ORD_CLAUSE_000069,7499.99,INR,card,Mastercard,domestic,2026-08-30T13:30:00,116.25,20.93,captured
PAY_CLAUSE_000070,ORD_CLAUSE_000070,499.99,INR,card,Visa,domestic,2026-09-04T03:51:00,8.25,1.49,captured
PAY_CLAUSE_000071,ORD_CLAUSE_000071,7499.00,INR,card,Mastercard,domestic,2026-08-29T11:48:00,116.23,20.92,captured
PAY_CLAUSE_000072,ORD_CLAUSE_000072,14999.99,INR,card,Visa,domestic,2026-09-02T20:22:00,247.50,44.55,captured
PAY_CLAUSE_000073,ORD_CLAUSE_000073,299.50,INR,card,Mastercard,domestic,2026-08-27T15:42:00,4.64,0.84,captured
PAY_CLAUSE_000074,ORD_CLAUSE_000074,499.50,INR,card,Mastercard,domestic,2026-09-06T18:14:00,8.24,1.48,captured
PAY_CLAUSE_000075,ORD_CLAUSE_000075,14999.99,INR,card,RuPay,domestic,2026-08-31T05:51:00,232.50,41.85,captured
PAY_CLAUSE_000076,ORD_CLAUSE_000076,1999.00,INR,card,RuPay,domestic,2026-09-07T15:22:00,32.98,5.94,captured
PAY_CLAUSE_000077,ORD_CLAUSE_000077,999.50,INR,card,RuPay,domestic,2026-08-31T01:57:00,15.49,2.79,captured
PAY_CLAUSE_000078,ORD_CLAUSE_000078,19999.99,INR,card,RuPay,domestic,2026-09-03T05:34:00,330.00,59.40,captured
PAY_CLAUSE_000079,ORD_CLAUSE_000079,19999.99,INR,card,Visa,domestic,2026-08-29T06:27:00,310.00,55.80,captured
PAY_CLAUSE_000080,ORD_CLAUSE_000080,799.00,INR,card,Mastercard,domestic,2026-09-05T14:29:00,13.18,2.37,captured
PAY_CLAUSE_000081,ORD_CLAUSE_000081,19999.00,INR,card,Mastercard,domestic,2026-08-25T14:15:00,309.98,55.80,captured
PAY_CLAUSE_000082,ORD_CLAUSE_000082,799.50,INR,card,Visa,domestic,2026-09-01T17:40:00,13.19,2.37,captured
PAY_CLAUSE_000083,ORD_CLAUSE_000083,7499.00,INR,card,RuPay,domestic,2026-08-26T07:26:00,116.23,20.92,captured
PAY_CLAUSE_000084,ORD_CLAUSE_000084,499.50,INR,card,RuPay,domestic,2026-09-02T02:15:00,8.24,1.48,captured
