refund_id,payment_id,amount,created_at,status
REF_CLAUSE_000019,PAY_CLAUSE_000019,124.88,2026-08-30T16:37:00,processed
REF_CLAUSE_000022,PAY_CLAUSE_000022,3125.00,2026-09-02T21:19:00,processed
REF_CLAUSE_000045,PAY_CLAUSE_000045,319.60,2026-08-28T02:37:00,processed
REF_CLAUSE_000049,PAY_CLAUSE_000049,749.50,2026-08-29T06:50:00,processed
REF_CLAUSE_000050,PAY_CLAUSE_000050,200.00,2026-09-04T19:25:00,processed
REF_CLAUSE_000057,PAY_CLAUSE_000057,799.60,2026-08-25T23:43:00,processed
REF_CLAUSE_000060,PAY_CLAUSE_000060,999.95,2026-09-07T09:46:00,processed
REF_CLAUSE_000078,PAY_CLAUSE_000078,8000.00,2026-09-03T12:34:00,processed
REF_CLAUSE_000091,PAY_CLAUSE_000091,49.90,2026-08-29T11:49:00,processed
REF_CLAUSE_000098,PAY_CLAUSE_000098,1250.00,2026-09-04T18:55:00,processed
REF_CLAUSE_000112,PAY_CLAUSE_000112,4999.60,2026-09-07T01:14:00,processed
REF_CLAUSE_000122_A,PAY_CLAUSE_000122,139.30,2026-09-08T03:27:00,processed
REF_CLAUSE_000122_B,PAY_CLAUSE_000122,89.55,2026-09-08T15:27:00,processed
REF_CLAUSE_000130_A,PAY_CLAUSE_000130,3499.30,2026-09-03T02:27:00,processed
REF_CLAUSE_000130_B,PAY_CLAUSE_000130,2249.55,2026-09-03T14:27:00,processed
REF_CLAUSE_000131,PAY_CLAUSE_000131,2499.80,2026-08-27T14:57:00,processed
REF_CLAUSE_000143,PAY_CLAUSE_000143,2499.75,2026-08-28T14:52:00,processed
REF_CLAUSE_000155,PAY_CLAUSE_000155,1500.00,2026-08-26T07:46:00,processed
REF_CLAUSE_000160,PAY_CLAUSE_000160,874.75,2026-09-05T11:05:00,processed
REF_CLAUSE_000174,PAY_CLAUSE_000174,4999.60,2026-09-04T20:34:00,processed
REF_CLAUSE_000183,PAY_CLAUSE_000183,1249.75,2026-08-29T21:41:00,processed
REF_CLAUSE_000198,PAY_CLAUSE_000198,399.90,2026-09-03T23:40:00,processed
REF_CLAUSE_000206,PAY_CLAUSE_000206,500.00,2026-09-02T07:05:00,processed
REF_CLAUSE_000211,PAY_CLAUSE_000211,299.90,2026-08-28T07:59:00,processed
REF_CLAUSE_000226,PAY_CLAUSE_000226,74.75,2026-09-05T05:03:00,processed
REF_CLAUSE_000231_A,PAY_CLAUSE_000231,3499.30,2026-08-30T11:34:00,processed
REF_CLAUSE_000231_B,PAY_CLAUSE_000231,2249.55,2026-08-30T23:34:00,processed
REF_CLAUSE_000259,PAY_CLAUSE_000259,10000.00,2026-08-28T04:53:00,processed
REF_CLAUSE_000271,PAY_CLAUSE_000271,2999.90,2026-08-27T07:16:00,processed
REF_CLAUSE_000275_A,PAY_CLAUSE_000275,1399.99,2026-08-25T22:57:00,processed
REF_CLAUSE_000275_B,PAY_CLAUSE_000275,900.00,2026-08-26T10:57:00,processed
REF_CLAUSE_000277,PAY_CLAUSE_000277,500.00,2026-08-29T18:08:00,processed
REF_CLAUSE_000299,PAY_CLAUSE_000299,1999.95,2026-08-27T15:21:00,processed
REF_CLAUSE_000334,PAY_CLAUSE_000334,1249.90,2026-09-05T10:36:00,processed
REF_CLAUSE_000337,PAY_CLAUSE_000337,320.00,2026-08-28T05:07:00,processed
REF_CLAUSE_000345,PAY_CLAUSE_000345,79.90,2026-08-27T11:55:00,processed
REF_CLAUSE_000388,PAY_CLAUSE_000388,79.60,2026-09-03T09:57:00,processed
REF_CLAUSE_000393,PAY_CLAUSE_000393,1999.60,2026-08-30T20:23:00,processed
REF_CLAUSE_000400,PAY_CLAUSE_000400,199.95,2026-09-03T22:02:00,processed
REF_CLAUSE_000413,PAY_CLAUSE_000413,2000.00,2026-08-26T06:45:00,processed
REF_CLAUSE_000420,PAY_CLAUSE_000420,749.95,2026-09-04T18:31:00,processed
REF_CLAUSE_000439,PAY_CLAUSE_000439,119.60,2026-08-29T15:15:00,processed
REF_CLAUSE_000455,PAY_CLAUSE_000455,199.90,2026-08-31T17:16:00,processed
REF_CLAUSE_000459,PAY_CLAUSE_000459,1874.75,2026-08-30T15:11:00,processed
REF_CLAUSE_000466,PAY_CLAUSE_000466,1999.60,2026-09-02T01:00:00,processed
REF_CLAUSE_000467,PAY_CLAUSE_000467,4999.75,2026-08-28T10:47:00,processed
REF_CLAUSE_000470,PAY_CLAUSE_000470,320.00,2026-09-04T17:57:00,processed
