settlement_id,payment_id,gross_amount,fee,tax,refund_adjustment,other_adjustment,net_amount,settled_at
SET_001,PAY_82HD9,10000.00,175.00,31.50,0.00,0.00,9793.50,2026-08-05T13:00:00
SET_001,PAY_00002,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-05T16:00:00
SET_001,PAY_00003,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-05T19:00:00
SET_001,PAY_00004,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-05T22:00:00
SET_001,PAY_00005,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-06T01:00:00
SET_001,PAY_00006,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-06T04:00:00
SET_002,PAY_REF91,4500.00,69.75,12.56,2000.00,0.00,2417.69,2026-08-06T07:00:00
SET_002,PAY_00008,2500.00,38.75,6.98,0.00,0.00,2454.27,2026-08-06T10:00:00
SET_002,PAY_00009,1800.00,31.50,5.67,0.00,0.00,1762.83,2026-08-06T13:00:00
SET_002,PAY_00010,15000.00,232.50,41.85,0.00,0.00,14725.65,2026-08-06T16:00:00
SET_002,PAY_00011,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-06T19:00:00
SET_002,PAY_SLA01,8600.00,133.30,23.99,0.00,0.00,8442.71,2026-08-11T22:00:00
SET_003,PAY_00013,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-07T01:00:00
SET_003,PAY_00014,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-07T04:00:00
SET_003,PAY_00015,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-07T07:00:00
SET_003,PAY_00016,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-07T10:00:00
SET_003,PAY_00017,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-07T13:00:00
SET_003,PAY_GST01,15000.00,232.50,58.13,0.00,0.00,14709.37,2026-08-07T16:00:00
SET_004,PAY_00019,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-07T19:00:00
SET_004,PAY_00020,15000.00,232.50,41.85,0.00,0.00,14725.65,2026-08-07T22:00:00
SET_004,PAY_00021,3200.00,56.00,10.08,0.00,0.00,3133.92,2026-08-10T01:00:00
SET_004,PAY_00022,15000.00,232.50,41.85,0.00,0.00,14725.65,2026-08-10T04:00:00
SET_004,PAY_00023,8600.00,133.30,23.99,0.00,0.00,8442.71,2026-08-10T07:00:00
SET_004,PAY_FEE49,3200.00,49.60,8.93,0.00,49.00,3092.47,2026-08-10T10:00:00
SET_005,PAY_00025,12500.00,193.75,34.88,0.00,0.00,12271.37,2026-08-10T13:00:00
SET_005,PAY_00026,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-10T16:00:00
SET_005,PAY_00027,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-10T19:00:00
SET_005,PAY_00028,2500.00,38.75,6.98,0.00,0.00,2454.27,2026-08-10T22:00:00
SET_005,PAY_00029,8600.00,133.30,23.99,0.00,0.00,8442.71,2026-08-11T01:00:00
SET_005,PAY_00030,7500.00,116.25,20.93,0.00,0.00,7362.82,2026-08-11T04:00:00
SET_006,PAY_NOBANK,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-11T07:00:00
SET_006,PAY_00032,2500.00,38.75,6.98,0.00,0.00,2454.27,2026-08-11T10:00:00
SET_006,PAY_00033,3200.00,56.00,10.08,0.00,0.00,3133.92,2026-08-11T13:00:00
SET_006,PAY_00034,7500.00,116.25,20.93,0.00,0.00,7362.82,2026-08-11T16:00:00
SET_006,PAY_00035,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-11T19:00:00
SET_006,PAY_00036,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-11T22:00:00
SET_007,PAY_00037,8600.00,133.30,23.99,0.00,0.00,8442.71,2026-08-11T01:00:00
SET_007,PAY_00038,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-11T04:00:00
SET_007,PAY_00039,7500.00,116.25,20.93,0.00,0.00,7362.82,2026-08-11T07:00:00
SET_007,PAY_00040,7500.00,116.25,20.93,0.00,0.00,7362.82,2026-08-11T10:00:00
SET_007,PAY_00041,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-11T13:00:00
SET_007,PAY_00042,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-11T16:00:00
SET_008,PAY_00043,12500.00,193.75,34.88,0.00,0.00,12271.37,2026-08-11T19:00:00
SET_008,PAY_AMB01,18420.00,285.51,51.39,0.00,0.00,18083.10,2026-08-11T22:00:00
SET_008,PAY_AMB02,18420.00,285.51,51.39,0.00,0.00,18083.10,2026-08-11T01:00:00
SET_008,PAY_00046,15000.00,232.50,41.85,0.00,0.00,14725.65,2026-08-11T04:00:00
SET_008,PAY_00047,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-11T07:00:00
SET_008,PAY_00048,8600.00,133.30,23.99,0.00,0.00,8442.71,2026-08-11T10:00:00
SET_009,PAY_00049,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-11T13:00:00
SET_009,PAY_00050,15000.00,232.50,41.85,0.00,0.00,14725.65,2026-08-11T16:00:00
SET_009,PAY_00051,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-11T19:00:00
SET_009,PAY_00052,7500.00,116.25,20.93,0.00,0.00,7362.82,2026-08-11T22:00:00
SET_009,PAY_00053,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-12T01:00:00
SET_009,PAY_00054,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-12T04:00:00
SET_010,PAY_00055,1200.00,18.60,3.35,0.00,0.00,1178.05,2026-08-12T07:00:00
SET_010,PAY_00056,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-12T10:00:00
SET_010,PAY_00057,5000.00,77.50,13.95,0.00,0.00,4908.55,2026-08-12T13:00:00
SET_010,PAY_00058,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-12T16:00:00
SET_010,PAY_00059,3200.00,49.60,8.93,0.00,0.00,3141.47,2026-08-12T19:00:00
SET_010,PAY_00060,1800.00,27.90,5.02,0.00,0.00,1767.08,2026-08-12T22:00:00
